time,frequency,confidence
2.45,490.534,0.913074
2.46,492.259,0.932086
2.47,492.687,0.939491
2.48,493.111,0.948692
2.49,492.980,0.946176
2.50,492.619,0.932226
2.51,492.302,0.938225
2.52,492.164,0.943044
2.53,491.630,0.948745
2.54,491.760,0.946593
2.55,491.984,0.932223
2.56,492.482,0.935103
2.57,492.677,0.937234
2.58,491.901,0.949387
2.59,491.297,0.947696
2.60,490.455,0.934145
2.61,490.576,0.926500
2.62,491.559,0.946364
2.63,492.162,0.946879
2.64,492.369,0.942286
2.65,491.998,0.941101
2.66,491.298,0.946405
2.67,490.083,0.933353
2.68,488.605,0.909089
2.69,487.521,0.886113
2.70,487.607,0.877901
2.71,488.079,0.824967
2.72,487.636,0.805521
2.73,486.791,0.860425
2.74,484.726,0.888961
2.75,482.757,0.879560
2.76,479.750,0.843129
2.77,477.113,0.883374
2.78,476.739,0.814423
2.79,476.448,0.836525
2.80,475.510,0.753209
2.81,472.804,0.809599
2.82,471.444,0.775618
2.83,470.273,0.876247
2.84,469.465,0.928786
2.85,469.149,0.925301
2.86,468.636,0.940793
2.87,467.968,0.949462
2.88,468.788,0.941747
2.89,470.385,0.893159
2.90,471.107,0.876076
2.91,469.270,0.910917
2.92,466.463,0.916915
2.93,465.663,0.895391
2.94,465.273,0.814270
2.95,465.330,0.820369
2.96,465.329,0.847028
2.97,465.193,0.800182
2.98,463.984,0.812729
2.99,462.187,0.697571
3.00,458.177,0.783697
3.01,456.785,0.787469
3.02,456.865,0.791287
3.03,455.699,0.777578
3.04,454.789,0.757739
3.05,454.054,0.805578
3.06,454.378,0.842262
3.07,451.320,0.863206
3.08,446.550,0.842232
3.09,441.259,0.834208
3.10,436.663,0.692914
3.11,433.993,0.578568
3.12,432.547,0.564489
3.13,432.417,0.400090
3.14,431.350,0.643771
3.15,434.458,0.545624
3.16,186.821,0.199783
3.17,457.821,0.135906
3.18,491.100,0.243832
3.19,110.338,0.200764
3.20,252.960,0.207696
3.21,466.300,0.109636
3.22,467.648,0.607899
3.23,469.510,0.469250
3.24,473.127,0.260777
3.25,242.783,0.412889
3.26,478.908,0.409297
3.27,472.967,0.282187
3.28,230.676,0.279932
3.29,229.829,0.281998
3.30,467.478,0.248113
3.31,191.871,0.140514
3.32,192.077,0.244933
3.33,190.301,0.237993
3.34,167.544,0.063458
