time,frequency,confidence
2.45,1600.396,0.009346
2.46,1974.097,0.007756
2.47,971.104,0.016706
2.48,1957.989,0.041673
2.49,703.312,0.037015
2.50,544.786,0.031222
2.51,553.437,0.053624
2.52,192.974,0.095383
2.53,156.610,0.267165
2.54,155.069,0.800329
2.55,155.373,0.903810
2.56,155.052,0.949081
2.57,154.504,0.946789
2.58,152.914,0.869873
2.59,150.715,0.765273
2.60,147.797,0.552541
2.61,147.221,0.581949
2.62,148.497,0.532288
2.63,160.857,0.333361
2.64,163.084,0.637424
2.65,165.629,0.578464
2.66,160.930,0.746435
2.67,159.354,0.912847
2.68,159.249,0.945179
2.69,160.010,0.956529
2.70,160.989,0.931705
2.71,162.029,0.936836
2.72,162.159,0.932605
2.73,161.258,0.933792
2.74,160.426,0.927756
2.75,160.546,0.932588
2.76,160.528,0.932991
2.77,160.261,0.942854
2.78,160.084,0.949868
2.79,160.217,0.940806
2.80,161.091,0.933970
2.81,161.711,0.934247
2.82,162.682,0.922794
2.83,162.941,0.928729
2.84,162.414,0.913547
2.85,161.346,0.907170
2.86,161.462,0.880971
2.87,161.429,0.738783
2.88,161.897,0.504624
2.89,161.637,0.165303
2.90,132.341,0.052386
2.91,32.912,0.018403
2.92,1217.263,0.006455
2.93,1172.807,0.009850
2.94,33.911,0.021500
2.95,32.386,0.016124
2.96,33.115,0.012358
2.97,1314.386,0.010842
2.98,54.480,0.010256
2.99,1047.145,0.017235
3.00,1065.314,0.003340
3.01,181.468,0.110218
3.02,177.992,0.137807
3.03,164.287,0.118205
3.04,161.609,0.559932
3.05,160.363,0.860271
3.06,160.214,0.924652
3.07,161.217,0.931631
3.08,162.214,0.915978
3.09,163.443,0.939639
3.10,164.444,0.930174
3.11,165.185,0.958726
3.12,165.237,0.960580
3.13,165.416,0.960147
3.14,165.795,0.957680
3.15,166.323,0.946315
3.16,167.731,0.949660
3.17,169.136,0.938247
3.18,169.814,0.914426
3.19,169.838,0.888303
3.20,169.295,0.829468
3.21,169.418,0.812881
3.22,171.763,0.701473
3.23,35.123,0.108530
3.24,34.970,0.154561
3.25,34.676,0.534912
3.26,32.978,0.287320
3.27,42.872,0.030834
3.28,32.053,0.024552
