time,frequency,confidence
2.07,1877.539,0.473802
2.08,1401.547,0.115326
2.09,570.923,0.160093
2.10,580.569,0.171442
2.11,583.564,0.176142
2.12,501.224,0.123681
2.13,504.607,0.169291
2.14,541.277,0.123361
2.15,203.530,0.150021
2.16,721.501,0.176305
2.17,723.879,0.074631
2.18,721.612,0.030846
2.19,1177.458,0.019194
2.20,1176.583,0.035547
2.21,1183.858,0.317638
2.22,1192.390,0.510640
2.23,1243.085,0.280003
2.24,1299.279,0.556340
2.25,1322.378,0.405609
2.26,1441.379,0.444282
2.27,1654.943,0.205985
2.28,1655.363,0.411043
2.29,1694.491,0.492794
2.30,1743.763,0.560831
2.31,1837.575,0.562952
2.32,1871.552,0.680007
2.33,1906.794,0.345501
2.34,1943.216,0.106778
2.35,411.721,0.083268
2.36,581.943,0.230131
2.37,582.011,0.175643
2.38,104.220,0.124891
2.39,104.399,0.155650
2.40,581.762,0.194028
2.41,582.266,0.272151
2.42,727.114,0.170393
2.43,725.644,0.123826
2.44,1275.173,0.053769
2.45,1163.821,0.035367
2.46,1174.383,0.048356
2.47,1187.697,0.295690
2.48,1193.205,0.488231
2.49,1251.294,0.370796
2.50,1296.977,0.498002
2.51,1320.289,0.478125
2.52,1427.778,0.435179
2.53,1646.285,0.161746
2.54,1654.503,0.550552
2.55,1683.806,0.445233
2.56,1737.646,0.646141
2.57,1790.485,0.556603
2.58,1856.999,0.737731
2.59,1884.087,0.671580
2.60,1930.284,0.361684
2.61,1178.209,0.157387
2.62,569.785,0.121618
2.63,581.959,0.294303
2.64,583.875,0.210327
2.65,415.584,0.197770
2.66,738.932,0.185988
2.67,626.206,0.135168
2.68,662.941,0.081135
2.69,654.013,0.074940
2.70,630.745,0.098031
2.71,623.342,0.054746
2.72,1287.980,0.033970
2.73,1181.575,0.032745
2.74,1189.216,0.179142
2.75,1197.981,0.395558
2.76,1228.918,0.394175
2.77,1264.286,0.347786
2.78,1302.946,0.445654
2.79,1440.456,0.335894
2.80,1485.948,0.354273
2.81,1613.141,0.295898
2.82,1626.698,0.399774
2.83,1694.908,0.438137
2.84,1736.247,0.710610
2.85,1800.371,0.436430
2.86,1869.709,0.607760
2.87,1903.647,0.335368
2.88,1941.391,0.166603
2.89,573.366,0.097298
2.90,579.186,0.199154
2.91,583.632,0.180098
2.92,409.581,0.218345
2.93,597.888,0.185761
2.94,590.437,0.184842
2.95,587.101,0.073772
2.96,649.059,0.082087
2.97,583.010,0.079779
2.98,575.824,0.043509
2.99,714.322,0.059667
3.00,711.918,0.038985
